ts_unix,ts_iso,total,success,success_rate,p50_ms,p99_ms
1776983280,2026-04-23T22:28:00Z,183,183,1.0000,0.727,12.743
1776983281,2026-04-23T22:28:01Z,200,200,1.0000,0.664,2.572
1776983282,2026-04-23T22:28:02Z,200,200,1.0000,0.713,4.162
1776983283,2026-04-23T22:28:03Z,200,200,1.0000,0.751,2.927
1776983284,2026-04-23T22:28:04Z,200,200,1.0000,0.743,3.681
1776983285,2026-04-23T22:28:05Z,200,200,1.0000,0.768,6.940
1776983286,2026-04-23T22:28:06Z,200,200,1.0000,0.855,4.851
1776983287,2026-04-23T22:28:07Z,200,200,1.0000,0.643,5.936
1776983288,2026-04-23T22:28:08Z,200,200,1.0000,0.809,3.147
1776983289,2026-04-23T22:28:09Z,200,200,1.0000,0.815,4.295
1776983290,2026-04-23T22:28:10Z,200,200,1.0000,0.714,10.799
1776983291,2026-04-23T22:28:11Z,200,200,1.0000,0.718,7.333
1776983292,2026-04-23T22:28:12Z,200,200,1.0000,0.694,3.387
1776983293,2026-04-23T22:28:13Z,200,200,1.0000,1.087,3.180
1776983294,2026-04-23T22:28:14Z,200,200,1.0000,1.174,2.574
1776983295,2026-04-23T22:28:15Z,200,200,1.0000,1.185,3.729
1776983296,2026-04-23T22:28:16Z,200,200,1.0000,1.179,4.248
1776983297,2026-04-23T22:28:17Z,200,200,1.0000,1.249,4.654
1776983298,2026-04-23T22:28:18Z,200,200,1.0000,0.949,3.736
1776983299,2026-04-23T22:28:19Z,200,200,1.0000,1.059,6.684
1776983300,2026-04-23T22:28:20Z,200,200,1.0000,1.106,6.874
1776983301,2026-04-23T22:28:21Z,200,200,1.0000,1.235,4.763
1776983302,2026-04-23T22:28:22Z,200,200,1.0000,1.240,4.480
1776983303,2026-04-23T22:28:23Z,200,200,1.0000,0.989,3.438
1776983304,2026-04-23T22:28:24Z,200,200,1.0000,1.152,3.063
1776983305,2026-04-23T22:28:25Z,200,200,1.0000,1.145,3.336
1776983306,2026-04-23T22:28:26Z,200,200,1.0000,1.184,3.628
1776983307,2026-04-23T22:28:27Z,200,200,1.0000,1.209,4.082
1776983308,2026-04-23T22:28:28Z,200,200,1.0000,1.008,5.056
1776983309,2026-04-23T22:28:29Z,200,200,1.0000,1.065,4.036
1776983310,2026-04-23T22:28:30Z,200,200,1.0000,1.217,20.203
1776983311,2026-04-23T22:28:31Z,200,200,1.0000,1.236,4.807
1776983312,2026-04-23T22:28:32Z,200,200,1.0000,1.230,4.512
1776983313,2026-04-23T22:28:33Z,200,200,1.0000,1.320,4.541
1776983314,2026-04-23T22:28:34Z,200,200,1.0000,1.265,5.812
1776983315,2026-04-23T22:28:35Z,200,200,1.0000,1.246,9.237
1776983316,2026-04-23T22:28:36Z,200,200,1.0000,1.270,5.782
1776983317,2026-04-23T22:28:37Z,200,200,1.0000,1.149,3.926
1776983318,2026-04-23T22:28:38Z,200,200,1.0000,1.120,5.110
1776983319,2026-04-23T22:28:39Z,200,200,1.0000,1.201,4.024
1776983320,2026-04-23T22:28:40Z,200,200,1.0000,1.221,5.672
1776983321,2026-04-23T22:28:41Z,200,200,1.0000,1.181,3.678
1776983322,2026-04-23T22:28:42Z,200,200,1.0000,1.197,2.543
1776983323,2026-04-23T22:28:43Z,200,200,1.0000,1.164,2.400
1776983324,2026-04-23T22:28:44Z,200,200,1.0000,1.211,9.542
1776983325,2026-04-23T22:28:45Z,200,200,1.0000,1.273,6.600
1776983326,2026-04-23T22:28:46Z,200,200,1.0000,1.217,4.129
1776983327,2026-04-23T22:28:47Z,200,200,1.0000,1.185,3.567
1776983328,2026-04-23T22:28:48Z,200,200,1.0000,1.175,5.050
1776983329,2026-04-23T22:28:49Z,200,200,1.0000,1.197,3.627
1776983330,2026-04-23T22:28:50Z,200,200,1.0000,1.165,6.093
1776983331,2026-04-23T22:28:51Z,200,200,1.0000,1.262,8.960
1776983332,2026-04-23T22:28:52Z,200,200,1.0000,1.229,3.818
1776983333,2026-04-23T22:28:53Z,200,200,1.0000,1.130,4.847
1776983334,2026-04-23T22:28:54Z,200,200,1.0000,1.210,5.252
1776983335,2026-04-23T22:28:55Z,200,200,1.0000,1.247,5.716
1776983336,2026-04-23T22:28:56Z,200,200,1.0000,1.204,5.314
1776983337,2026-04-23T22:28:57Z,200,200,1.0000,1.143,10.460
1776983338,2026-04-23T22:28:58Z,200,200,1.0000,0.879,7.375
1776983339,2026-04-23T22:28:59Z,200,200,1.0000,1.190,2.685
1776983340,2026-04-23T22:29:00Z,17,16,0.9412,0.900,1.219
