ts_unix,ts_iso,total,success,success_rate,p50_ms,p99_ms
1776973425,2026-04-23T19:43:45Z,199,199,1.0000,0.527,4.502
1776973426,2026-04-23T19:43:46Z,200,200,1.0000,0.422,1.025
1776973427,2026-04-23T19:43:47Z,200,200,1.0000,0.481,1.998
1776973428,2026-04-23T19:43:48Z,200,200,1.0000,0.467,1.120
1776973429,2026-04-23T19:43:49Z,200,200,1.0000,0.472,0.896
1776973430,2026-04-23T19:43:50Z,200,200,1.0000,0.400,0.723
1776973431,2026-04-23T19:43:51Z,200,200,1.0000,0.362,0.719
1776973432,2026-04-23T19:43:52Z,200,200,1.0000,0.444,0.816
1776973433,2026-04-23T19:43:53Z,200,200,1.0000,0.494,0.950
1776973434,2026-04-23T19:43:54Z,200,200,1.0000,0.530,1.409
1776973435,2026-04-23T19:43:55Z,200,133,0.6650,0.541,1.936
1776973436,2026-04-23T19:43:56Z,200,133,0.6650,0.575,3.137
1776973437,2026-04-23T19:43:57Z,200,134,0.6700,0.639,4.923
1776973438,2026-04-23T19:43:58Z,200,133,0.6650,0.562,1.803
1776973439,2026-04-23T19:43:59Z,200,133,0.6650,0.547,1.794
1776973440,2026-04-23T19:44:00Z,200,134,0.6700,0.584,2.743
1776973441,2026-04-23T19:44:01Z,200,133,0.6650,0.586,2.945
1776973442,2026-04-23T19:44:02Z,200,133,0.6650,0.613,2.889
1776973443,2026-04-23T19:44:03Z,200,134,0.6700,0.595,2.231
1776973444,2026-04-23T19:44:04Z,200,133,0.6650,0.610,1.910
1776973445,2026-04-23T19:44:05Z,200,199,0.9950,0.534,1.028
1776973446,2026-04-23T19:44:06Z,200,200,1.0000,0.395,1.196
1776973447,2026-04-23T19:44:07Z,200,200,1.0000,0.414,0.989
1776973448,2026-04-23T19:44:08Z,200,200,1.0000,0.464,0.754
1776973449,2026-04-23T19:44:09Z,200,200,1.0000,0.445,1.554
1776973450,2026-04-23T19:44:10Z,200,200,1.0000,0.470,0.847
1776973451,2026-04-23T19:44:11Z,200,200,1.0000,0.491,2.749
1776973452,2026-04-23T19:44:12Z,200,200,1.0000,0.465,2.555
1776973453,2026-04-23T19:44:13Z,200,200,1.0000,0.518,1.023
1776973454,2026-04-23T19:44:14Z,200,200,1.0000,0.521,0.840
1776973455,2026-04-23T19:44:15Z,200,133,0.6650,0.521,1.720
1776973456,2026-04-23T19:44:16Z,200,134,0.6700,0.454,2.526
1776973457,2026-04-23T19:44:17Z,200,133,0.6650,0.455,1.944
1776973458,2026-04-23T19:44:18Z,200,133,0.6650,0.562,2.070
1776973459,2026-04-23T19:44:19Z,200,134,0.6700,0.496,1.699
1776973460,2026-04-23T19:44:20Z,200,133,0.6650,0.462,1.922
1776973461,2026-04-23T19:44:21Z,200,133,0.6650,0.446,1.398
1776973462,2026-04-23T19:44:22Z,200,134,0.6700,0.517,1.668
1776973463,2026-04-23T19:44:23Z,200,133,0.6650,0.556,2.480
1776973464,2026-04-23T19:44:24Z,200,133,0.6650,0.549,1.854
1776973465,2026-04-23T19:44:25Z,200,199,0.9950,0.537,1.519
1776973466,2026-04-23T19:44:26Z,200,200,1.0000,0.485,1.690
1776973467,2026-04-23T19:44:27Z,200,200,1.0000,0.453,4.136
1776973468,2026-04-23T19:44:28Z,200,200,1.0000,0.448,1.294
1776973469,2026-04-23T19:44:29Z,200,200,1.0000,0.397,1.130
1776973470,2026-04-23T19:44:30Z,200,200,1.0000,0.473,1.133
1776973471,2026-04-23T19:44:31Z,200,200,1.0000,0.432,2.158
1776973472,2026-04-23T19:44:32Z,200,200,1.0000,0.430,0.873
1776973473,2026-04-23T19:44:33Z,200,200,1.0000,0.403,0.814
1776973474,2026-04-23T19:44:34Z,200,200,1.0000,0.382,0.816
1776973475,2026-04-23T19:44:35Z,200,133,0.6650,0.552,2.373
1776973476,2026-04-23T19:44:36Z,200,133,0.6650,0.453,1.498
1776973477,2026-04-23T19:44:37Z,200,134,0.6700,0.494,1.590
1776973478,2026-04-23T19:44:38Z,200,133,0.6650,0.547,1.926
1776973479,2026-04-23T19:44:39Z,200,133,0.6650,0.616,4.486
1776973480,2026-04-23T19:44:40Z,200,134,0.6700,0.476,1.447
1776973481,2026-04-23T19:44:41Z,200,133,0.6650,0.485,1.457
1776973482,2026-04-23T19:44:42Z,200,133,0.6650,0.536,5.619
1776973483,2026-04-23T19:44:43Z,200,134,0.6700,1.449,6.628
1776973484,2026-04-23T19:44:44Z,200,133,0.6650,0.431,1.490
1776973485,2026-04-23T19:44:45Z,1,1,1.0000,0.411,0.411
